"Specimen","Site","Tooth","Sample","Dist","d13C","d18O","C.Error","O.Error"
"ROU.08","ROU","M2","ROU8 M2-1",33.11,-15.44,-4.71,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-2",31.72,-15.49,-4.65,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-3",30.65,-15.67,-4.62,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-4",29.53,-15.77,-4.56,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-5",28.38,-15.91,-4.53,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-6",27.22,-15.87,-4.32,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-7",26,-15.92,-3.93,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-8",24.59,-15.99,-4.17,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-9",23.55,-16,-4.02,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-10",22.49,-15.81,-4.03,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-11",21.38,-16.07,-3.71,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-12",20.34,-16.21,-3.36,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-13",19.37,-16.21,-3.13,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-14",18.27,-16.22,-2.9,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-15",17.37,-16.23,-2.8,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-16",16.23,-16.36,-2.6,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-17",15.11,-16.21,-2.29,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-18",13.93,-16.34,-2.29,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-19",12.73,-16.17,-2.11,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-20",11.64,-16.36,-2.02,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-21",10.57,-16.36,-2.08,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-22",9.47,-16.15,-2.12,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-23",8.27,-16.05,-2.37,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-24",7.09,-16.18,-2.61,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-25",6.03,-15.99,-2.74,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-26",5,-15.82,-2.87,0.03,0.09
"ROU.08","ROU","M2","ROU8 M2-27",3.9,-15.26,-3.22,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-1",37.1,-15.11,-3.86,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-2",35.9,-15.5,-4.6,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-3",34.81,-15.62,-4.93,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-4",33.47,-15.92,-5.07,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-5",32.52,-15.85,-5.3,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-6",31.3,-16.12,-5.28,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-7",30.15,-16.28,-5.28,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-8",29.18,-16.33,-5.5,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-9",27.95,-16.4,-5.71,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-10",26.83,-16.74,-5.65,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-11",25.46,-16.51,-5.34,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-12",24.34,-16.93,-5.32,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-13",23.1,-16.79,-5.42,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-14",22.11,-16.87,-4.96,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-15",20.88,-16.83,-4.86,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-16",19.68,-16.69,-4.4,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-17",18.53,-16.78,-4.03,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-18",17.43,-16.54,-3.8,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-19",16.33,-16.14,-3.44,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-20",15.25,-16.22,-3.14,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-21",14.22,-16.05,-3.19,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-22",13.16,-15.99,-2.79,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-23",11.97,-16.1,-2.56,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-24",10.77,-16.17,-2.42,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-25",9.8,-16.16,-2.88,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-26",8.49,-15.79,-2.73,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-27",7.47,-15.97,-3.09,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-28",6.29,-16.17,-3.17,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-29",5.24,-16.11,-3.29,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-30",4.18,-15.36,-3.58,0.03,0.09
"ROU.06","ROU","M2","ROU6 M2-31",2.99,-14.85,-4.11,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-2",31.31,-16.47,-3.99,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-3",30.24,-16.52,-4.23,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-4",29.19,-16.57,-4.32,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-5",28.14,-16.55,-4.4,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-6",27.15,-16.65,-4.26,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-7",26.03,-16.51,-4.36,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-8",25,-16.51,-4.61,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-9",24.1,-16.56,-4.28,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-10",23,-16.59,-4.21,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-11",21.99,-16.45,-4.17,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-12",20.81,-16.4,-3.84,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-13",19.65,-16.48,-3.56,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-14",18.62,-16.7,-3.29,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-15",17.39,-16.74,-3.09,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-16",16.41,-16.92,-2.86,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-17",15.41,-16.99,-2.53,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-18",14.39,-16.85,-2.24,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-19",13.5,-17.08,-2.14,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-20",12.6,-16.9,-1.86,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-21",11.5,-16.89,-1.78,0.03,0.09
"ROU.07","ROU","M2","ROU7 M2-22",10.55,-16.74,-1.73,0.03,0.09
